iter	RMSE
178	0.4554975881
179	0.4551535339
180	0.4549124964
181	0.4545782063
182	0.4542930265
183	0.4537700597
184	0.4534477928
185	0.4531608964
186	0.4528258925
187	0.4525705906
188	0.4523081435
189	0.4517332602
190	0.4513515207
191	0.4510748783
192	0.4507656331
193	0.4505013901
194	0.4500787964
195	0.4497226329
196	0.4493724867
197	0.4490786092
198	0.4488858578
199	0.4485974617
200	0.4483382936
201	0.4480207161
202	0.4476378118
203	0.4473082359
204	0.4470061641
205	0.4464252132
206	0.4461756462
207	0.445927378
208	0.4456988246
209	0.4454153319
210	0.44500097
211	0.4447191188
212	0.4444944488
213	0.4440134975
214	0.4436910452
215	0.4433657134
216	0.4430959694
217	0.4425823539
218	0.4423238523
219	0.4420313806
220	0.4416572089
221	0.4411594693
222	0.4407153206
223	0.4403544446
224	0.4401274288
225	0.439788364
226	0.4393986889
227	0.439115095
228	0.4388631114
229	0.438192462
230	0.4378649466
231	0.4376396437
232	0.4373844949
233	0.4370207655
234	0.4367672301
235	0.4365430113
236	0.4363361165
237	0.4359208699
238	0.4356772916
239	0.4354486374
240	0.434983743
241	0.4347991817
242	0.4343969195
243	0.4340129001
244	0.4338019194
245	0.4335140489
246	0.4331324305
247	0.4327559433
248	0.4324431152
249	0.4320487601
250	0.4318077019
251	0.431538193
252	0.4312824869
253	0.4310428191
254	0.4306743206
255	0.4302296777
256	0.429974255
257	0.4298016838
258	0.4296219339
259	0.4294274896
260	0.4290438884
261	0.4284848481
262	0.4281131426
263	0.4278735306
264	0.4276017499
265	0.427373714
266	0.4271474016
267	0.4269489236
268	0.4266772332
269	0.4264507117
270	0.4260258931
271	0.4257732939
272	0.4256021985
273	0.4254196526
274	0.4250216413
275	0.4247779375
276	0.4245690542
277	0.4243050031
278	0.4240268892
279	0.4237448149
280	0.4234971835
281	0.4231778725
282	0.4229833466
283	0.4226890315
284	0.4222237099
285	0.4220127863
286	0.4218202946
287	0.4216214926
288	0.4213613598
289	0.4212194842
290	0.4209160372
291	0.4207083664
292	0.420464504
293	0.4202652586
294	0.4200290662
295	0.41983121
296	0.4197303081
297	0.4194991341
298	0.4191849208
299	0.4187668548
300	0.4185726497
301	0.4183880265
302	0.4182107342
303	0.4179946394
304	0.4178202282
305	0.4176160076
306	0.4174913578
307	0.417295852
308	0.4171270006
309	0.416896372
310	0.4167283419
311	0.4165599911
312	0.4163564293
313	0.4162073766
314	0.416008135
315	0.4157668206
316	0.4155753031
317	0.4153888233
318	0.4151976058
319	0.4149470678
320	0.4146966536
321	0.4144671627
322	0.4143116396
323	0.4140089608
324	0.4137878497
325	0.4135769139
326	0.4132939508
327	0.4131286183
328	0.4129544222
329	0.4127993973
330	0.4124704322
331	0.4122146363
332	0.4118522432
333	0.4117104741
334	0.4114555167
335	0.4112759683
336	0.4110624104
337	0.4108594979
338	0.4107384971
339	0.4105463075
340	0.4102312346
341	0.4100322159
342	0.4098099388
343	0.4095627527
344	0.4093379553
345	0.4091570245
346	0.4089645643
347	0.4088439852
348	0.4087030494
349	0.4085783918
350	0.4083362602
351	0.4080030218
352	0.407807745
353	0.4076378625
354	0.4073930711
355	0.4071174997
356	0.4069047583
357	0.4067677553
358	0.4066253594
359	0.4064952602
360	0.4063910893
361	0.4062476332
362	0.4061251592
363	0.4060023689
364	0.4058608191
365	0.4056918587
366	0.4055744746
367	0.4052822499
368	0.4051233943
369	0.4049119315
370	0.4046739044
371	0.4044675293
372	0.4043069692
373	0.4039698736
374	0.4038157855
375	0.4037265396
376	0.4035952942
377	0.4033879041
378	0.4031752501
379	0.4030129713
380	0.4027498767
381	0.4025072313
382	0.402354171
383	0.4022022881
384	0.4020957268
385	0.4019518929
386	0.4017590149
387	0.4016555259
388	0.401568734
389	0.4012409008
390	0.401118299
391	0.4009279401
392	0.4007854895
393	0.4006092395
394	0.4004813446
395	0.4003255591
396	0.4001988936
397	0.4000876248
398	0.3999362933
399	0.3997835584
400	0.3996893093
401	0.3996101084
402	0.3995353613
403	0.3992047335
404	0.3990163197
405	0.3986903183
406	0.3985445576
407	0.3984077514
408	0.398259207
409	0.3980560025
410	0.3978354771
411	0.3976326464
412	0.397459131
413	0.3972935209
414	0.3971058872
415	0.3969902781
416	0.3968858222
417	0.3967255825
418	0.3966154246
419	0.3964827477
420	0.3963815886
421	0.3961974023
422	0.3960603266
423	0.3959335058
424	0.3957795085
425	0.3954938104
426	0.3952970358
427	0.3951215063
428	0.3949448654
429	0.3948103413
430	0.3946738783
431	0.3944788332
432	0.3943409767
433	0.3942050682
434	0.3940243121
435	0.3938520371
436	0.393714056
437	0.3935942305
438	0.3934234591
439	0.3932923252
440	0.3931736396
441	0.3930622875
442	0.3927869683
443	0.3926285693
444	0.3925379342
445	0.3923658421
446	0.3922870114
447	0.392007775
448	0.3917816713
449	0.3916320415
450	0.3915148484
451	0.3913599342
452	0.3912159053
453	0.3911033245
454	0.3910058926
455	0.3908420738
456	0.3907055384
457	0.3905576379
458	0.3904131438
459	0.3902933771
460	0.390186384
461	0.3900565472
462	0.389929025
463	0.3897893522
464	0.3896995803
465	0.3895696998
466	0.3894247846
467	0.3893648231
468	0.3892747794
469	0.389141214
470	0.389038025
471	0.3889175912
472	0.3887805403
473	0.3886754641
474	0.3886070759
475	0.3885051499
476	0.3883256938
477	0.3881749575
478	0.3880660206
479	0.3879429237
480	0.3877937928
481	0.3876855731
482	0.3875475466
483	0.3874536342
484	0.387307907
485	0.3871926287
486	0.3869689266
487	0.3867860181
488	0.3865493836
489	0.3863950412
490	0.3862806067
491	0.3861807448
492	0.3860368217
493	0.3859110229
494	0.3858161561
495	0.3856553493
496	0.3855209847
497	0.3853911958
498	0.3852490041
499	0.3850091281
500	0.3849187563
501	0.3847736529
502	0.3846155881
503	0.3845251266
504	0.3843931994
505	0.384214118
506	0.3840921255
507	0.3839938766
508	0.3838750433
509	0.3837823183
510	0.3836430596
511	0.383523601
512	0.3834609593
513	0.3832923115
514	0.3831733655
515	0.3830435237
516	0.382964184
517	0.3829130914
518	0.3827611901
519	0.3826285217
520	0.3825395612
521	0.3824414199
522	0.3823645133
523	0.3822678184
524	0.3819994624
525	0.3819170342
526	0.3818027252
527	0.3816988136
528	0.3816257346
529	0.3815104982
530	0.3813846712
531	0.3812864315
532	0.3811565636
533	0.3810386853
534	0.3809071607
535	0.3807577114
536	0.3806615126
537	0.3804862778
538	0.380354944
539	0.3801019524
540	0.3800094253
541	0.3798497228
542	0.3796325948
543	0.3794815335
544	0.3793540388
545	0.3792650244
546	0.3790823301
547	0.3789738731
548	0.3788857813
549	0.3787852169
550	0.3786487491
551	0.3785379845
552	0.3784291543
553	0.3783417453
554	0.3781782609
555	0.3780920762
556	0.3780025684
557	0.3778839077
558	0.3778078669
559	0.3777102208
560	0.3775765154
561	0.3774599091
562	0.3773634443
563	0.3772558836
564	0.3770376129
565	0.3768630515
566	0.3767686307
567	0.3766481694
568	0.3765616475
569	0.376446607
570	0.3763624096
571	0.3763035521
572	0.3761984455
573	0.3760929067
574	0.3759751178
575	0.3758698883
576	0.3757370156
577	0.3755843941
578	0.375459094
579	0.3753443744
580	0.3752695671
581	0.3751894709
582	0.3750741319
583	0.3749952752
584	0.3748414462
585	0.374721362
586	0.3746409623
587	0.3745539467
588	0.3744683135
589	0.3743777904
590	0.3742653026
591	0.374144664
592	0.3740326575
593	0.3739188821
594	0.3738567196
595	0.3737511692
596	0.3736581855
597	0.3735312613
598	0.3734548786
599	0.3733604769
600	0.3733124773
601	0.3732445775
602	0.3731496906
603	0.3730002172
604	0.3729153428
605	0.3728607386
606	0.3727696827
607	0.3726669028
608	0.3725805183
609	0.3724935521
610	0.3724017417
611	0.3722357771
612	0.3721370023
613	0.3720707847
614	0.371865292
615	0.3717297777
616	0.3716245236
617	0.3715519156
618	0.371426214
619	0.3712650899
620	0.3712026598
621	0.3711181763
622	0.3710412477
623	0.3709717354
624	0.3708920032
625	0.3707973071
626	0.370568393
627	0.3704616213
628	0.3702448286
629	0.3701958698
630	0.3701420234
631	0.3700650382
632	0.3699209486
633	0.3698087693
634	0.369711467
635	0.3696302911
636	0.3695521766
637	0.3693784302
638	0.3692895413
639	0.3691753228
640	0.3690323892
641	0.3689373072
642	0.3688122355
643	0.3686109711
644	0.3685192541
645	0.3684163991
646	0.3682296268
647	0.3681547684
648	0.3680642589
649	0.3679957587
650	0.3678915137
651	0.3678563539
652	0.3677637573
653	0.3677138102
654	0.3675905099
655	0.3674117958
656	0.3673126306
657	0.3672287284
658	0.3670135302
659	0.3668168439
660	0.3667682319
661	0.3666459754
662	0.3665724582
663	0.3664317689
664	0.36630926
665	0.3661901284
666	0.3660717225
667	0.3659766104
668	0.3659214261
669	0.365834103
670	0.3657320177
671	0.3656469688
672	0.3655397966
673	0.3654637888
674	0.3654082455
675	0.3653148036
676	0.3651522012
677	0.3650829891
678	0.364954059
679	0.3648814076
680	0.3647582671
681	0.3646694991
682	0.3645572136
683	0.3644430726
684	0.3643356968
685	0.3642398985
686	0.3641186781
687	0.3640487221
688	0.3639645869
689	0.3638615071
690	0.3637772241
691	0.3637008492
692	0.3636557596
693	0.3635704661
694	0.3634967572
695	0.3633955172
696	0.363319866
697	0.3632240781
698	0.3630754567
699	0.3630123618
700	0.3628754768
701	0.3627783449
702	0.3627088924
703	0.3626382076
704	0.3625332971
705	0.3624140627
706	0.3623089517
707	0.362240542
708	0.3620914636
709	0.3620144085
710	0.3619024647
711	0.3618625165
712	0.3618206314
713	0.361707283
714	0.3616294028
715	0.3615850816
716	0.3614940297
717	0.3613961577
718	0.3613249701
719	0.3612611393
720	0.3611740166
721	0.3611112832
722	0.3610222837
723	0.3609096743
724	0.3608460554
725	0.3607282418
726	0.3605230963
727	0.3604312213
728	0.3602467877
729	0.3601657551
730	0.3600998952
731	0.3600131021
732	0.359967519
733	0.3599113723
734	0.359839139
735	0.3597552696
736	0.3596258436
737	0.3595453185
738	0.3594580661
739	0.3593964413
740	0.3592835403
741	0.3592023878
742	0.3591222503
743	0.3590221105
744	0.3588910457
745	0.358803212
746	0.3587578722
747	0.3587018413
748	0.3586300346
749	0.3585520963
750	0.3584299475
751	0.3583589428
752	0.3582508329
753	0.3581604074
754	0.3581198395
755	0.3580502209
756	0.3579593209
757	0.3578886506
758	0.3577772542
759	0.3577543385
760	0.3576774859
761	0.3575914878
762	0.3574638882
763	0.3573768501
764	0.357281184
765	0.3571840212
766	0.3571406028
767	0.3570528518
768	0.356941747
769	0.3568486909
770	0.3568036461
771	0.3567035571
772	0.3566153126
773	0.3565539552
774	0.356465817
775	0.3563710561
776	0.3562895395
777	0.3561563639
778	0.3561058775
779	0.356016711
780	0.3559760517
781	0.3558855422
782	0.3558105971
783	0.3557254607
784	0.3556324139
785	0.3555002098
786	0.3554419999
787	0.3553211596
788	0.3552069087
789	0.3551216512
790	0.3550456392
791	0.3548905835
792	0.3548320147
793	0.354741012
794	0.3546374816
795	0.3545876739
796	0.354424485
797	0.3543355244
798	0.3542385867
799	0.3541854948
800	0.3541259684
801	0.3540555057
802	0.3539787917
803	0.3539027075
804	0.3538282056
805	0.3537140696
806	0.3536604482
807	0.353571522
808	0.3534737509
809	0.3533715834
810	0.3532473566
811	0.3531916857
812	0.3531452373
813	0.3530650956
814	0.3529547266
815	0.3528700671
816	0.3527607716
817	0.3526245099
818	0.3525488821
819	0.3524555182
820	0.3523935106
821	0.3523384942
822	0.3521832232
823	0.3521122514
824	0.3520454737
825	0.3519646536
826	0.3519154946
827	0.3518202935
828	0.3517608709
829	0.351730066
830	0.3516615751
831	0.3516001256
832	0.3514511076
833	0.3513802649
834	0.3512726588
835	0.3512088655
836	0.3511425291
837	0.3510131528
838	0.3509180852
839	0.3508227749
840	0.3507222124
841	0.3506909848
842	0.3505763872
843	0.3504610401
844	0.350443385
845	0.3503436802
846	0.3502344955
847	0.3501282006
848	0.3500473735
849	0.3499349189
850	0.3498633999
851	0.349805178
852	0.3497474045
853	0.3496743314
854	0.3496368135
855	0.3495780247
856	0.3494801645
857	0.3494218707
858	0.3493619048
859	0.3492635397
860	0.349181428
861	0.3490618162
862	0.348975137
863	0.3489064038
864	0.3488558199
865	0.3487759081
866	0.348661514
867	0.3485950047
868	0.3484784667
869	0.34842586
870	0.3483331627
871	0.3482274304
872	0.3481318985
873	0.3480817464
874	0.3479876627
875	0.347909663
876	0.3478439462
877	0.3477508571
878	0.3476250564
879	0.347538934
880	0.3474823818
881	0.3474106626
882	0.3473539879
883	0.3472840617
884	0.347162856
885	0.3471262868
886	0.3470638964
887	0.3469842952
888	0.3468941752
889	0.3468218512
890	0.3467187157
891	0.3466667833
892	0.346571162
893	0.3464538502
894	0.3463744389
895	0.3462884748
896	0.3462271891
897	0.346166355
898	0.3460596707
899	0.3459487573
900	0.3458865586
901	0.3458217454
902	0.3457426174
903	0.3456358806
904	0.3455738638
905	0.3454850064
906	0.3454298882
907	0.3453780266
908	0.3452938271
909	0.3452241601
910	0.3451481363
911	0.3450828616
912	0.3450479442
913	0.3449654202
914	0.3448827208
915	0.344793176
916	0.344691938
917	0.3445982599
918	0.3445004787
919	0.3444232085
920	0.3443234827
921	0.3442453537
922	0.3441289152
923	0.3440808658
924	0.3439831386
925	0.3438941235
926	0.3436962747
927	0.3435733648
928	0.3434800852
929	0.3434013078
930	0.3433374687
931	0.3432852471
932	0.3432466233
933	0.3431614904
934	0.3430967117
935	0.3430102
936	0.3429575056
937	0.3429068856
938	0.3428407163
939	0.3427448539
940	0.3426760759
941	0.3426164672
942	0.3424968002
943	0.3424009313
944	0.3423548302
945	0.3422416708
946	0.3421768367
947	0.3421044732
948	0.3420238565
949	0.3419443742
950	0.3418870037
951	0.341826446
952	0.3417513525
953	0.3416874805
954	0.3416155631
955	0.3414874867
956	0.3414015338
957	0.3413060437
958	0.3412637652
959	0.341155448
960	0.3410931652
961	0.3409706005
962	0.3409185534
963	0.3408602114
964	0.3408123266
965	0.3407183882
966	0.3406426929
967	0.3405608678
968	0.3404890418
969	0.3404207453
970	0.3403335392
971	0.3402665329
972	0.3401898567
973	0.3400922846
974	0.3400370478
975	0.3399272058
976	0.3398491874
977	0.3397652713
978	0.3397229195
979	0.3396663032
980	0.3396040071
981	0.3394895456
982	0.3394239816
983	0.3393664799
984	0.3393019685
985	0.3392493795
986	0.3391708768
987	0.339107631
988	0.3390506754
989	0.3389750327
990	0.3388998207
991	0.3388221453
992	0.3387577788
993	0.3386655337
994	0.3385733548
995	0.3384954401
996	0.338430723
997	0.3383214382
998	0.3382328297
999	0.3381311369
